950106013-044	19	23	しかし、並立制が連立政権を求めている	かというと	、そうではない。	1=>W:話題,0=>その他
950106181-006	26	28	動物研究家の平岩米吉さんの調査では、オオカミを祭っ	ている	神社は全国に２０社ある。	1=>M:継続,0=>その他
950402032-018	45	47	エジプトなどアラブ諸国はイスラエルのＮＰＴ未加盟を無期限延長に反対する主な主な理由に挙げ	ている	。	1=>M:継続,0=>その他
950106184-002	86	88	政治危機の続くイタリアで、暫定政権を目指して調停を進めていたスカルファロ大統領が四日から「風邪でダウン」し調停がストップしたが、政治的な駆け引きの一つという観測が飛び交っ	ている	。	1=>M:継続,0=>その他
950106156-011	88	90	しかし、実際に消費者は早朝から買い物に訪れており、ダイエーでは「小売りの側が古い正月の過ごし方という固定概念にとらわれており、消費者の方が一歩も二歩も先を行っている」と説明し	ている	。	1=>M:継続,0=>その他
950106138-002	19	21	同党同党が北海道知事選に出馬を要請し	ている	社会党の伊東秀子衆院議員の政治的経歴について、「頭のいい人は若いころは『左』になる」と、マスコミ界や財界の有力者の実名を挙げ、「みんな若いころは『左』だった。伊東君もその一人一人で、いわば転向者だ」と述べた。	1=>M:継続,0=>その他
950404053-003	49	51	いま、日本は輸出などを通じて、年間一千一千億ドル以上のドルを稼いでいるが、ドル資産は急速に減価し	ている	。	1=>M:継続,0=>その他
950106013-063	35	37	茨城のようなことはないにしても、あの結果はかなりの指標になるとは思っ	ている	。	1=>M:継続,0=>その他
950106211-032	15	17	制服で高校を選ぶ中学生が増え	ている	。	1=>M:継続,0=>その他
950106098-010	44	46	森崎嘉は「本当は自分がチャンスを作りたいが、今は周りが作ってくれる」とＦＷの役割に徹し	ている	。	1=>M:継続,0=>その他
950106212-003	40	42	このような学生を救おう救おうと武蔵大では、毎年１２月にジャズダンス講習会を行っ	ている	。	1=>M:継続,0=>その他
950404053-005	31	33	ドルの減価の原因は、米国が財政赤字と経常赤字を世界にたれ流し	ている	ためだ。	1=>M:継続,0=>その他
950106172-006	53	55	近くに住むパート勤務の女性は「昨年夏の午後四時から五時ごろ、関根容疑者がシベリアンハスキーを連れて散歩し	ている	のを二回ほど見掛けたことがある」と、降ってわいた騒ぎに驚いていた。	1=>M:継続,0=>その他
950405043-012	50	52	にもかかわらず、例えば東京では「投票に必ず行く」という人が五九％で前回知事選より一〇ポイントも減っ	ている	のである。	1=>M:継続,0=>その他
950106204-005	36	38	二〇〇〇年シドニーオリンピックでラグビーが実施されるかどうか注目を集め	ている	。	1=>M:継続,0=>その他
950106187-007	56	58	欧米諸国ともチェチェンがロシアの一部であることは確認しながらも、軍事行動のエスカレートを人権の側面から問題視し	ている	。	1=>M:継続,0=>その他
950402032-007	49	51	ＮＰＴは発効から二十二十五年後に、条約の無期限延長か、期限を切った延長かを決める会議の開催を定め	ている	。	1=>M:継続,0=>その他
950106157-016	74	76	福岡市の志岐真一総務局長は「捜査終了後、対応を検討する」というが、労働の対価である給与の返還や、本人が掛け金を納めた年金の支給停止などは難しいとみ	ている	。	1=>M:継続,0=>その他
950106214-003	15	17	生クリームにまみれて仕事をし	ている	私は、ざらざらした自分の両手が恥ずかしくなった。	1=>M:継続,0=>その他
950401040-009	35	37	また、北朝鮮側の主張と条件が十分に盛り込まれたと解釈できる文書になっ	ている	。	1=>M:継続,0=>その他
950106085-001	70	72	西伊豆最大の温泉をもつ静岡県土肥町土肥町の「恋人岬」で２月１４日、訪れたカップルに３つの特典がある「恋人岬バレンタインスペシャル」を企画し	ている	。	1=>M:継続,0=>その他
950106211-022	21	23	だれもが興味を持ち、女性なら一度は体験し	ている	ことだけに、サンプルが集めやすく、これといった苦労はない、という。	1=>M:継続,0=>その他
950401040-028	33	35	地域の平和と安定のための戦略とロードマップをきちんと示す時期にき	ている	。	1=>M:継続,0=>その他
950106217-001	24	26	本紙の連載小説『かくも短き眠り』の挿絵を担当し	ている	画家の安久利徳さんは、薄くスライスしたヒノキ材を使った素朴な「ひので細工」を自ら創案し、東京都西多摩郡日の出町日の出町大久野の旧家の納屋を改築して開いた展示館で常設展示しているが、今年のえとにちなんだイノシシも考案した	1=>M:継続,0=>その他
950106155-004	44	46	この日の会見で、川上会長は上下分離方式について「一昨年から構想はあった。有力な案と思っ	ている	」と同案を軸に地元案を調整する考えを示唆。	1=>M:継続,0=>その他
950106046-007	30	32	しかし、約四千四千五百五百人は帰国を拒否し、収容生活を続け	ている	。	1=>M:継続,0=>その他
950106214-002	3	5	笑っ	ている	顔が、そのまま絵になるような、フワリとした面差し。	1=>M:継続,0=>その他
950106149-014	94	96	建設省が九一年のリサイクル法成立を機に、残土を他の公共工事に活用する「リサイクルプラン２１」を推進しているが、全国のリサイクル率は三〇％程度で、埋め立て地の不足に拍車をかける原因にもなっ	ている	。	1=>M:継続,0=>その他
950106001-008	42	44	しかし、旧民社党が新進党に参加したこともあり、久保氏はさきがけとの連携に意欲を持っ	ている	。	1=>M:継続,0=>その他
950106007-018	36	38	十年ほど前にも関根容疑者と付き合いのあった運転手ら行方が分からなくなっ	ている	人が同県同県内で数人おり、同署で関連を調べている。	1=>M:継続,0=>その他
950106125-002	19	21	洗剤のＣＭではちょっと軟弱な姿を見せ	ている	けれど、映画デビュー作では得意の語学力を生かした日系人役を演じた経歴を持つなど、器用な人なのだ。	1=>M:継続,0=>その他
950106171-003	88	90	それによると、二〇〇〇年には、現在十六兆円のマルチメディア市場が五十五十九兆円にまで拡大し、現在の雇用の一・九倍に当たる百九十九十九万人の新規雇用を生み出すと経済効果を試算し	ている	。	1=>M:継続,0=>その他
950106013-069	51	53	一般的に二大政党か三極になるといわれるが、日本の場合は、比例区を加味してドイツ型になるのかなあと思っ	ている	。	1=>M:継続,0=>その他
950106187-012	108	110	エリツィン大統領は年末のテレビ演説で「イスラムを敵視しているのではない」と強調したが、五日にはトルコ・イスタンブールのロシア領事館に火炎瓶が投げ込まれたほか、ヨルダンやパキスタン、アフガニスタンでも抗議の声が強まっ	ている	。	1=>M:継続,0=>その他
950106185-007	36	38	訴状によると、この技術者は半導体に大容量の情報を記憶させる特許を保有し	ている	が、日本メーカーはこの特許を無視して製品を開発、米国に出荷しているという。	1=>M:継続,0=>その他
950106015-004	57	59	一方、五十嵐広三官房長官は同日、地元・北海道旭川市で記者団に「久保書記長は『社会党はもうダメだから新党だ』と言っ	ている	ようだが、新党には積極的な意味づけを考えるべきだ」と述べ、久保氏の姿勢をけん制した。	1=>M:継続,0=>その他
950402032-008	35	37	ニューヨーク会議はこの規定に基づいて開かれるもので、現在までに加盟し	ている	百七十七十五カ国の過半数の賛成で決定が下される。	1=>M:継続,0=>その他
950106149-014	51	53	建設省が九一年のリサイクル法成立を機に、残土を他の公共工事に活用する「リサイクルプラン２１」を推進し	ている	が、全国のリサイクル率は三〇％程度で、埋め立て地の不足に拍車をかける原因にもなっている。	1=>M:継続,0=>その他
950106099-016	30	32	礼儀正しい好青年だが、精神面での甘さも大味な相撲につながっ	ている	。	1=>M:継続,0=>その他
950106204-015	73	75	シドニー・オリンピック組織委員会も「オリンピックの参加選手総数を１万人に抑えるのが原則。１チーム２５人は、他の競技の選手数を圧迫する」と疑問視し	ている	。	1=>M:継続,0=>その他
950106013-060	18	20	二百二百五十五十はいきたいと念願し	ている	。	1=>M:継続,0=>その他
950106155-006	16	18	上下分離方式は、運輸省が検討し	ている	第二期工事案の一つ。	1=>M:継続,0=>その他
950106168-010	35	37	兵員や機材不足から、現実として執行できない制裁は国連の信頼性を損なっ	ている	と分析している。	1=>M:継続,0=>その他
950401040-026	48	50	日朝日朝正常化と南北統一を視野に入れ、米韓米韓両国との協力を基礎に北東アジアの将来をどう構想し	ている	のかを明らかにすべきだ。	1=>M:継続,0=>その他
950404053-009	39	41	最近のドル下落は、ペーパーマネーのドル本位制が終わりに近付いていることを告げ	ている	。	1=>M:継続,0=>その他
950401039-023	69	71	今後の推進についても各省庁に内外の意見・要望を聞く窓口を設置してフォローアップの充実を図り、「規制緩和白書」を毎年度毎年度、発行するとし	ている	。	1=>M:継続,0=>その他
950106211-004	22	24	すでに提出した人も、最後の追い込みにかかっ	ている	人も、味わったこの苦しみ。	1=>M:継続,0=>その他
950106199-008	47	49	内モンゴルの雪や氷は滑らないのか、とまじめに思ったほど、どのクルマもそんな凍結路を巧みに走っ	ている	。	1=>M:継続,0=>その他
950106156-009	82	84	家庭用ゲーム機、おもちゃなどのお年玉商品だけでなく、刺し身、牛肉、シャンプー、牛乳など通常の買い物商品もよく売れており、「正月とはいえ消費者はお節料理ばかりを食べ	ている	わけでなく、普段通りの生活をしている」ことがうかがえる。	1=>M:継続,0=>その他
950106007-015	44	46	同署は、この契約をめぐって川崎さんと同容疑者の間で代金の返却に関しトラブルになったとみ	ている	。	1=>M:継続,0=>その他
950106191-005	56	58	チェチェンへの軍事介入で改革派の政権離れが進む中、同政権が支持基盤を保守派に一層シフトし始めた兆候との見方も出	ている	。	1=>M:継続,0=>その他
950106157-012	51	53	福岡市に採用された際、元教諭の戸籍を提出しているが、同市人事課は「信頼を前提にしており、書類がそろっ	ていれ	ばチェックできない」。	1=>M:継続,0=>その他
950106157-013	21	23	八幡東区役所は「本籍地などを申請人が知っ	ていれ	ば、それ以上の確認はしない」という。	1=>M:継続,0=>その他
950106087-004	44	46	「あなたも五十五十七歳。私たちは、もう、やり直しの利かない年齢です。節制なき日々を送っ	ていれ	ば、必ずや、ツケが来ます。寝たばこ用心、妻子泣かすな、金送れ」という先日の手紙にも、返事をくれない。	1=>M:継続,0=>その他
950405043-028	62	64	しかし、それに浮かれ浮かれて投票を忘れるようでは、いつの間にか政治が知らないところで決まってしまうことを、有権者は肝に銘じ	ておく	べきだろうだろう。	1=>M:完了,0=>その他
950106180-006	22	24	都庁都庁舎近くのマンション地下１階で営業し	ており	、午前１１時から午後１０時まで湯につかれる。	1=>M:継続,0=>その他
950106156-009	57	59	家庭用ゲーム機、おもちゃなどのお年玉商品だけでなく、刺し身、牛肉、シャンプー、牛乳など通常の買い物商品もよく売れ	ており	、「正月とはいえ消費者はお節料理ばかりを食べているわけでなく、普段通りの生活をしている」ことがうかがえる。	1=>M:継続,0=>その他
950106157-012	41	43	福岡市に採用された際、元教諭の戸籍を提出しているが、同市人事課は「信頼を前提にし	ており	、書類がそろっていればチェックできない」。	1=>M:継続,0=>その他
950106078-004	42	44	設備投資が大幅に減少したことや輸入の増加のためで、設備投資は四年連続で減少すると見	ており	、雇用調整も長引くため景気回復は非常に穏やかなものになると予測する。	1=>M:継続,0=>その他
950106155-003	31	33	同案に対しては関西空港会社の服部経治社長も強い支持を打ち出し	ており	、この夏に骨格が固まる第七次空港整備五カ年計画に向けて細部の詰めが行われることになりそうだ。	1=>M:継続,0=>その他
950106188-002	56	58	ペリー米国防長官は五日、ワシントンで講演し、チェチェン情勢について「ロシア軍の戦術は多くの一般市民に犠牲を出し	ており	、我々の懸念は強まっている」と述べた。	1=>M:継続,0=>その他
950106156-011	22	24	しかし、実際に消費者は早朝から買い物に訪れ	ており	、ダイエーでは「小売りの側が古い正月の過ごし方という固定概念にとらわれており、消費者の方が一歩も二歩も先を行っている」と説明している。	1=>M:継続,0=>その他
950106174-003	25	27	道知事選で社会党は前副知事の堀達也氏の推薦を決め	ており	、伊東氏の出馬は村山政権の連立与党に亀裂を生むことも予想される。	1=>M:継続,0=>その他
950404054-016	46	48	国連はすべての武装勢力に交渉参加を呼び掛けているが、タリバンなど一部は参加に前提条件をつけ	ており	、交渉実現までの道のりは険しい。	1=>M:継続,0=>その他
950106186-005	23	25	仏側仏側も制裁解除に基本的に賛成の意向を示し	ており	、米、英と対立している。	1=>M:継続,0=>その他
950106156-011	60	62	しかし、実際に消費者は早朝から買い物に訪れており、ダイエーでは「小売りの側が古い正月の過ごし方という固定概念にとらわれ	ており	、消費者の方が一歩も二歩も先を行っている」と説明している。	1=>M:継続,0=>その他
950106063-003	27	29	現在、中台間の貿易や出入りは香港など第三地域を経由し	ており	、直行が実現すれば画期的な交流拡大につながる。	1=>M:継続,0=>その他
950106110-011	39	41	追うゴルトベルガーは「本当に苦しくなってきた」と話しながらも必死で逆転を狙っ	ており	、激しい一戦となりそうだ。	1=>M:継続,0=>その他
950106087-012	37	41	そんな出た切り夫など、一緒に暮らしてても、暮らさなくてもおんなじ、と思っ	ておりまし	た。	1=>M:継続,0=>その他
950402032-019	42	43	ＮＰＴが核保有国優位の不平等性をはらんでいるのは事実だが、条約が核拡散防止に果たし	てき	た役割は評価しなければならない。	1=>M:着継続,0=>その他
950106192-005	42	43	また、昨年七月、金日成主席の死去により延期された南北首脳会談について「延期を通告し	てき	た北韓の方から開催を要請してくるのが順序だ」と指摘、韓国側から先に、開催を呼びかけない方針を示した。	1=>M:着継続,0=>その他
950106021-003	70	71	ＣＩＡはこうした政治・安全保障分野だけでなく、経済・技術分野でも日本の対米対米貿易の交渉方針、日本企業の高度技術を対象に、情報活動を展開し	てき	た。	1=>M:着継続,0=>その他
950106105-009	61	62	これまではＦＷの速い集散を軸にＳＨ八百山のプレースキック、ＦＢ今崎のタッチキック、ハイパントを絡めて勝ち上がっ勝ち上がっ	てき	たが、準々決勝で右肩を脱きゅうした今崎の欠場は翼の片方をもぎ取られた以上の大きな痛手。	1=>M:着継続,0=>その他
950106099-017	13	14	「ようやく上を倒す欲が出	てき	た」と本人は言うが、九州場所では武蔵川部屋への出げいこを途中でやめたこともあった。	1=>M:着継続,0=>その他
950106021-010	27	28	ＣＩＡは歴代首相の側近、周辺に常に情報提供者を確保し	てき	た。	1=>M:着継続,0=>その他
950106168-003	37	38	冷戦終結を受け、国連憲章第七章に基づく武力行使権限による強硬手段を志向し	てき	たＰＫＯの事実上の軌道修正で、今後、安保理はガリ提案を検討する。	1=>M:着継続,0=>その他
950405043-022	15	16	そんな知恵も動員する必要が出	てき	そうだ。	1=>M:着継続,0=>その他
950106164-003	21	22	県警は懲戒免職懲戒免職も含む処分を検討し	てき	たが、昨年末に古賀利治・同署長が「監督責任を感じた」として自殺したこともあり、処分がどの範囲まで及ぶか注目される。	1=>M:着継続,0=>その他
950106099-018	13	14	出げいこでここまで上がっ	てき	た力士だけに、もう一度初心に戻って土にまみれることが、肝要ではなかろうなかろうか。	1=>M:着継続,0=>その他
950106024-006	35	36	十一日からの重油船積みは、米国防総省傘下の油類油類供給庁が五日指示し	てき	た。	1=>M:着継続,0=>その他
950106199-001	31	32	昨年末、氷点下３０度にもなる酷寒の地、中国・内モンゴルを旅し	てき	た。	1=>M:着継続,0=>その他
950106021-002	124	125	米中央情報局は日本国内に、最盛時には百人以上、現在も約六十六十人という在外支局としては「世界で最大級規模」の要員を配置し、自民党や社会党の議員、政府省庁職員、在日本朝鮮人総連合会幹部、左翼過激派、商社員らに定期的に報酬を渡して秘密の情報提供者とし	てき	たことが、複数のＣＩＡ関係筋の証言で明らかになった。	1=>M:着継続,0=>その他
950402033-010	142	143	国はその後、このうち二十二十三点の公開は「やむを得ない」と認めたものの、主に主に電子機器などを置いてある地下部分の資料二十二十一点については「ＡＳＷＯＣはシーレーン防衛のための中枢基地であり、公開されると国防や警備上、重大な支障が生じる」などと主張、決定の取り消しなどを要求して争っ	てき	た。	1=>M:着継続,0=>その他
950401039-010	44	45	私たちは一万件以上ある各種規制の中でも特に需給調整のための規制を廃止、緩和するよう求め	てき	た。	1=>M:着継続,0=>その他
950106079-002	50	51	昨年五月実施の過積載規制強化でトラック需要が大きく伸びたのに加え、主力の乗用車が低価格戦略で回復し	てき	たことや輸入車の快進撃が貢献した。	1=>M:着継続,0=>その他
950106113-007	35	36	三月に一線から退くことを決意、シャンソンとの対戦を最後に――と頑張っ	てき	たが、その夢は消えた。	1=>M:着継続,0=>その他
950106110-011	20	21	追うゴルトベルガーは「本当に苦しくなっ	てき	た」と話しながらも必死で逆転を狙っており、激しい一戦となりそうだ。	1=>M:着継続,0=>その他
950404053-011	36	37	過去二十二十年以上にわたり、主要国は通貨の安定をめぐり、協調の努力をし	てき	たが、限界が見えている。	1=>M:着継続,0=>その他
950106138-004	75	76	佐藤会長は「私が党総務会長だった二年半前、伊東君が『二十二十代に理想とした社会主義国家は存在しなくなった。自民党の言うことが理にかなっている』と言っ	てき	た」と、伊東氏から連携の働きかけがあったことを強調。	1=>M:着継続,0=>その他
950106177-008	67	68	説得は難航したが接触は続き、昨年四月の選挙直前に国内交渉が決裂して国際調停となった際、ブテレジ議長は初め、瀬崎前大使に調停役を依頼し	てき	た。	1=>M:着継続,0=>その他
950106082-009	27	28	当時、四十四十四歳の満さんは小学校教諭として脂が乗っ	てき	たところだ。	1=>M:着継続,0=>その他
950106087-017	17	18	遠くないんだから、月に一度は帰っ	てき	てや。	1=>M:着継続,0=>その他
950106187-003	50	51	チェチェン内戦の空爆、戦闘による死者の数が増えるにつれて、各国にエリツィン政権に対する憂慮が広がっ	てき	た。	1=>M:着継続,0=>その他
950106130-003	18	19	ドラマの共演をきっかけに交際を深め	てき	た。	1=>M:着継続,0=>その他
950106184-005	46	47	六日はイタリアの休日に当たるため、調停は事実上来週に持ち越され、暫定政権の行方は混とんとし	てき	た。	1=>M:着継続,0=>その他
950106011-009	44	45	山花氏は六、九の両日に開く新民連の総会で、年末年始に支持団体と離党を含めた対応を協議し	てき	た各所属議員の意見を聴取。	1=>M:着継続,0=>その他
950106217-006	35	36	「最近のデコデコやり過ぎた饒舌な装飾が多すぎる世の中で、日本人が伝え	てき	た清潔な美しさを表現できないものかと考えてひので細工を創案した。簡単そうに見えるかもしれませんが、これで結構エネルギーを注いでるんですよ」と安久利さん。	1=>M:着継続,0=>その他
950405043-015	49	51	この趨勢では軒並み投票率を下げ一九八一年の千葉県知事選での二五％というワースト記録を破る選挙が出	てくる	かもしれないのである。	1=>M:着継続,0=>その他
950106192-005	57	59	また、昨年七月、金日成主席の死去により延期された南北首脳会談について「延期を通告してきた北韓の方から開催を要請し	てくる	のが順序だ」と指摘、韓国側から先に、開催を呼びかけない方針を示した。	1=>M:着継続,0=>その他
950106013-037	16	18	共産党もあるし、ほかの政党も出	てくる	かもしれない。	1=>M:着継続,0=>その他
950106105-012	44	46	「少し硬さもあったが、ＦＷ戦で負けたら、相手は経験の浅い柴田めがけてハイパントを仕掛け	てくる	と思ったから」とフッカーの山内主将。	1=>M:着継続,0=>その他
950106013-024	7	9	その辺が見え	てくる	とおもしろい。	1=>M:着継続,0=>その他
950106177-015	42	44	これに南ア政府高官が信頼を寄せ、その後、政権幹部となった彼らが今回の赴任中に支援し	てくれ	たという。	1=>M:他-授与,0=>その他
950106082-010	42	44	「妻が辞めれば、ほぼ間違いなく校長になれる。でも、生き生きと仕事している妻に『辞め	てくれ	』とはいえない」	1=>M:他-授与,0=>その他
950106214-019	13	16	彼女が変わらぬ笑顔で迎え	てくれる	。	1=>M:他-授与,0=>その他
950106098-010	30	33	森崎嘉は「本当は自分がチャンスを作りたいが、今は周りが作っ	てくれる	」とＦＷの役割に徹している。	1=>M:他-授与,0=>その他
950106177-004	29	30	新憲法制定交渉が行き詰まっていた時期で、焦点は交渉に乗っ	てこ	ないブテレジ・インカタ自由党議長の動向だった。	1=>M:着継続,0=>その他
950106128-015	45	46	中沢さんの兄孝次さんは「東京と静岡で離れて暮らしているので、家には年に一度ぐらいしか帰っ	てこ	なかった。家族にはほとんど山のことを話さず、正月に山に登るとは聞いていなかった」と無念さを隠せない表情だった。	1=>M:着継続,0=>その他
950106013-033	28	29	同時に社会党にいろいろな動きがあるが何カ月たっても見え	てこ	ない。	1=>M:着継続,0=>その他
950106099-011	6	9	上体が立っ	てしまい	、踏み込みが足りない。	1=>M:完了,0=>その他
950405043-028	46	49	しかし、それに浮かれ浮かれて投票を忘れるようでは、いつの間にか政治が知らないところで決まっ	てしまう	ことを、有権者は肝に銘じておくべきだろうだろう。	1=>M:完了,0=>その他
950405043-019	45	48	妙に聞こえるかもしれないが、投票率が低くなればなるほど、少人数の意向で政治の方向が決まっ	てしまう	のに似ている。	1=>M:完了,0=>その他
950404054-005	49	52	ソ連軍侵攻下のアフガニスタン情勢に大きな関心を示した国際世論も、第二の内戦にはすっかり関心を失っ	てしまっ	た。	1=>M:完了,0=>その他
950401040-016	40	43	とすれば、今回の四党合意は正常化交渉の障害を取り除くよりは、一層足かせを増やし	てしまっ	たのではないかと懸念される。	1=>M:完了,0=>その他
950106105-010	39	42	試合前、浦監督はあえて「今崎のことは忘れろ。自分の責任を果たすことだけを考え	てほしい	」と１５人をグラウンドに送り出した。	1=>M:願望,0=>その他
950106211-005	31	34	卒論なんて言葉、もう聞きたくないだろうだろうが、ぜひ読んでみ	てほしい	。	1=>M:願望,0=>その他
950106156-010	24	25	同社同社内でも「元日に客が集まるかどうか、開け	てみ	ないと分からない」といった懸念はあった。	1=>Q:順接確定,0=>その他
950106180-030	4	7	こうし	てみると	、温泉に入るだけなら３５０円の“温泉銭湯”がお得。	1=>Q:順接確定,0=>その他
950106013-053	11	12	それと、新保守であっ	ても	保守の立場には立てない旧民社党。	1=>Q:逆接仮定,0=>その他
950106087-012	19	20	そんな出た切り夫など、一緒に暮らして	ても	、暮らさなくてもおんなじ、と思っておりました。	1=>Q:逆接仮定,0=>その他
950106105-014	39	40	「悩んだ末に今の時点でのベストメンバーはこれしかないと決断した。選手層は薄く	ても	、チームワークは日本一でしょうでしょう」と浦監督。	1=>Q:逆接仮定,0=>その他
950106158-002	23	24	患者は「仕事で必要なので支払ったが、どう考え	ても	納得いかない」と怒り、病院側も内部調査を始めた。	1=>Q:逆接仮定,0=>その他
950106128-014	22	23	松井さんの弟康浩さんは「目の前に頂上が見え	ても	危険を感じれば引き返すのが山のプロの心構え、と日ごろから話していたのにこんなことになるなんて」と最初はしっかりとした口調だったが、やがて涙が言葉を詰まらせた。	1=>Q:逆接仮定,0=>その他
950106013-004	4	5	無理し	ても	うまくいかない。	1=>Q:逆接仮定,0=>その他
950106013-033	24	25	同時に社会党にいろいろな動きがあるが何カ月たっ	ても	見えてこない。	1=>Q:逆接仮定,0=>その他
950106004-001	77	78	５日夕刊１面「パソコンＴＶに受信料」の記事で、ＮＨＫの受信料は「一般家庭で複数台の機器があればその数の分だけ契約する方針」とあるのは「複数台の機器があっ	ても	一契約」の誤りでした。	1=>Q:逆接仮定,0=>その他
950106013-063	14	15	茨城のようなことはないにし	ても	、あの結果はかなりの指標になるとは思っている。	1=>Q:逆接仮定,0=>その他
950106098-004	39	40	「前半点を取れないようだと……」という市立船橋の布監督の不安を吹き飛ばす願っ	ても	ない展開だった。	1=>Q:逆接仮定,0=>その他
950402032-022	41	42	唯一の被爆国、非核三原則を掲げる国として、日本は核拡散防止と核軍縮のいずれに対し	ても	勇気ある主張と行動を展開すべきだ。	1=>Q:逆接仮定,0=>その他
950405043-024	61	62	自らの都合だけで候補者の選定を行い、選挙を楽に戦いたいがために無風に持ち込む談合を繰り返しているようでは、どんな手を講じ	ても	投票率は高くならない。	1=>Q:逆接仮定,0=>その他
950404054-018	32	33	また、ゲリラ各派への武器、資金援助をうわさされる周辺諸国に対し	ても	、関与が事実なら即時停止を求めたい。	1=>Q:逆接仮定,0=>その他
950106071-003	16	17	また、充電式の電池パックが切れ	ても	、単３のアルカリ乾電池を装てんすれば６０分使用できるようになっている。	1=>Q:逆接仮定,0=>その他
950106021-016	14	15	電気通信分野の交渉に関連し	ても	郵政省の内部やＮＴＴ、通産省内部からも情報を得ていたという。	1=>Q:逆接仮定,0=>その他
950106007-010	6	7	一週間たっ	ても	引き取りに来ないため、駐車場が警視庁に届けていた。	1=>Q:逆接仮定,0=>その他
950106082-017	9	10	「私が校長になっ	ても	、あと四、五四、五四、五年。妻はまだ十五年ある。これからは男だけが出世すればいい時代ではなく、男女共生の時代だ。いずれ妻が校長になるときも来るだろうだろう」。	1=>Q:逆接仮定,0=>その他
950106011-003	34	35	同党同党の山花貞夫・新民主連合会長は同日、新民連内の同調者が少なく	ても	今月中旬に新党を結成する考えを表明。	1=>Q:逆接仮定,0=>その他
950106113-003	3	4	攻め	ても	愛知学泉大は、外角から樋口、松野が得点を重ねた。	1=>Q:逆接仮定,0=>その他
950106113-009	61	63	一方、勝った愛知学泉大の木村功監督も「原田に悪いことをしたかな。でも、選手は外国人に一歩も引かずに立ち向かっていた。褒め	てやり	たい」と、選手の闘志をたたえていた。	1=>M:内-授与,0=>その他
950404054-011	27	29	アフガニスタンには中央政府は事実上存在しない、と言っ	てよい	。	1=>M:許可,0=>その他
950106178-012	24	27	みこさんが「玄関に置いて毎日欠かさずお願いをし	て下さい	」。	1=>M:他-授与,0=>その他
950106087-006	16	18	それも決まって「大阪へ引っ越し	て来い	」の一点張り。	1=>M:着継続,0=>その他
950106174-007	34	35	道知事選には北海道勤労者医療協会副専務理事の甲斐基男氏も共産党推薦	での	立候補を表明している。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
950106168-005	12	13	ガリ総長はソマリアなど	での	経験に立脚し、安保理がＰＫＯを派遣する場合「維持活動」と「執行活動」を明確に区分し、武力行使が必要な執行活動義務をＰＫＯに加えるべきでないとしている。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
950106150-007	38	39	来月にも、創立総会を開き、今春の統一地方選を手始めに、夏の参院選、小選挙区	での	衆院総選挙などで選挙協力を行っていく。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
950106168-002	18	19	ソマリアやボスニア・ヘルツェゴビナ	での	国連平和維持活動の挫折を受け、ガリ国連事務総長は五日、武力行使を伴う平和執行活動は現在の国連では不可能とする報告書を安保理に提出した。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
950106005-009	11	12	空爆実施がどのレベル	での	決定によるものか不明だが、大統領令が再び厳守されていないことは大統領かつ軍最高司令官としてエリツィン氏の指導力、威信にも影響を与えかねない。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
950106110-006	10	11	インスブルック大会	での	圧勝で通算得点を６９５・１点とし、一気に首位に立った。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
950106110-008	14	15	日本選手の「ジャンプ週間」	での	最高成績は九三年の葛西紀明の二位。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
950401039-007	7	8	スタート時点	での	問題意識は経済的規制を思い切って廃止、緩和することで内外価格差を縮小、日本の経済システムを作り変える作り変えることに置かれていたはずだ。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
950106015-002	20	21	村山富市首相は五日の社会党旗開き旗開き	での	あいさつで、同党同党の久保亘書記長をしきりと持ち上げる配慮をみせた。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
950405043-015	28	29	この趨勢では軒並み投票率を下げ一九八一年の千葉県知事選	での	二五％というワースト記録を破る選挙が出てくるかもしれないのである。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
950106080-004	30	31	制度改革の効果を高めるため、社員の所属する現場ごとに査定面	での	資金処分権限などを強化する。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
950106117-007	9	10	勝負どころの密集	での	ボール獲得、トライに結びつける攻めの集中力には王者の風格がある。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
950106117-004	3	4	決勝	での	両者の顔合わせは２年ぶり３回目でいずれも神鋼が勝っているが、今大会は東芝のＦＷとバックスのバランスが良く、２年前の１点差を再現するような際どい試合になりそうだ。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
950405043-014	7	8	世論調査段階	での	「必ず行く」は投票日には目減りするのが通例で、前回の東京では、調査では六九％だったのが実際の投票率は五二％弱だった。	1=>D:基準,2=>D:主体,3=>D:状況,4=>D:仲介,0=>その他
